TrtID,TrtDesc,GermWP,GermTemp,CumTime,nTotal,nGerminated
3,Tomato-15C-0.4MPa,-0.4,15,169,50,8
3,Tomato-15C-0.4MPa,-0.4,15,172,50,9
3,Tomato-15C-0.4MPa,-0.4,15,177,50,10
3,Tomato-15C-0.4MPa,-0.4,15,180,50,10
3,Tomato-15C-0.4MPa,-0.4,15,183,50,11
3,Tomato-15C-0.4MPa,-0.4,15,186,50,11
3,Tomato-15C-0.4MPa,-0.4,15,189,50,13
3,Tomato-15C-0.4MPa,-0.4,15,190,50,13
3,Tomato-15C-0.4MPa,-0.4,15,192,50,14
3,Tomato-15C-0.4MPa,-0.4,15,193,50,15
3,Tomato-15C-0.4MPa,-0.4,15,195,50,15
3,Tomato-15C-0.4MPa,-0.4,15,196,50,16
3,Tomato-15C-0.4MPa,-0.4,15,197,50,16
3,Tomato-15C-0.4MPa,-0.4,15,198,50,17
3,Tomato-15C-0.4MPa,-0.4,15,199,50,18
3,Tomato-15C-0.4MPa,-0.4,15,200,50,19
3,Tomato-15C-0.4MPa,-0.4,15,201,50,20
3,Tomato-15C-0.4MPa,-0.4,15,203,50,22
3,Tomato-15C-0.4MPa,-0.4,15,204,50,24
3,Tomato-15C-0.4MPa,-0.4,15,205,50,26
3,Tomato-15C-0.4MPa,-0.4,15,206,50,26
3,Tomato-15C-0.4MPa,-0.4,15,207,50,27
3,Tomato-15C-0.4MPa,-0.4,15,209,50,28
3,Tomato-15C-0.4MPa,-0.4,15,210,50,29
3,Tomato-15C-0.4MPa,-0.4,15,212,50,29
3,Tomato-15C-0.4MPa,-0.4,15,214,50,30
3,Tomato-15C-0.4MPa,-0.4,15,220,50,31
3,Tomato-15C-0.4MPa,-0.4,15,222,50,31
3,Tomato-15C-0.4MPa,-0.4,15,223,50,34
3,Tomato-15C-0.4MPa,-0.4,15,224,50,40
3,Tomato-15C-0.4MPa,-0.4,15,225,50,41
3,Tomato-15C-0.4MPa,-0.4,15,226,50,41
3,Tomato-15C-0.4MPa,-0.4,15,227,50,42
3,Tomato-15C-0.4MPa,-0.4,15,228,50,44
3,Tomato-15C-0.4MPa,-0.4,15,229,50,45
3,Tomato-15C-0.4MPa,-0.4,15,237,50,45
3,Tomato-15C-0.4MPa,-0.4,15,238,50,46
3,Tomato-15C-0.4MPa,-0.4,15,246,50,46
3,Tomato-15C-0.4MPa,-0.4,15,250,50,47
3,Tomato-15C-0.4MPa,-0.4,15,251,50,47
3,Tomato-15C-0.4MPa,-0.4,15,257,50,48
3,Tomato-15C-0.4MPa,-0.4,15,282,50,49
3,Tomato-15C-0.4MPa,-0.4,15,283,50,49
4,Tomato-20C-Water,0,20,70,50,3
